No.,Part thickness,T_Mold,T_Melt,P_Gate,P_Runner,T_Barrel,T_Mold,P_Pack,Vel
1,3.155,40.64863636,156.8914895,25.03673636,51.86915455,190,21,30,10
2,3.15,40.69227273,157.5566864,24.72929091,51.46303636,190,21,30,10
3,3.154,40.76909091,158.2896225,24.45557273,51.22350909,190,21,30,10
4,3.15,40.57,158.0038323,25.42931818,52.30450909,190,21,30,10
5,3.149,40.65181818,160.4910652,24.13581818,50.6708,190,21,30,10
6,3.151,40.72272727,158.2632739,24.05636364,50.68418182,190,21,30,10
7,3.151,40.49181818,158.1456322,24.61244545,51.39535455,190,21,30,10
8,3.155,40.64863636,158.8229843,24.55222727,51.29793636,190,21,30,10
9,3.152,40.48090909,156.8865653,24.06889091,50.72822727,190,21,30,10
10,3.151,40.57954545,156.1678996,24.75571818,51.39571818,190,21,30,10
11,3.149,40.50272727,160.2596386,23.13750909,49.61575455,190,21,30,10
12,3.151,40.56318182,159.2451026,24.22609091,50.92138182,190,21,30,10
13,3.151,40.69545455,157.1974196,25.11716364,51.98413636,190,21,30,10
14,3.154,40.69227273,159.4091788,24.86171818,51.59333636,190,21,30,10
15,3.153,40.655,156.7989738,24.99990909,51.6582,190,21,30,10
16,3.149,40.74181818,156.294363,23.28687273,49.68300909,190,21,30,10
17,3.153,40.84772727,157.5117085,23.85810909,50.45846364,190,21,30,10
18,3.155,40.47818182,156.8976728,24.45773636,51.18202727,190,21,30,10
19,3.15,40.74136364,156.8572115,24.07190909,50.69538182,190,21,30,10
20,3.15,40.77727273,158.7574945,24.69211818,51.43039091,190,21,30,10
21,3.144,42.43545455,165.344653,29.7675,52.10336364,190,21,30,40
22,3.148,42.31,165.4328261,30.02777273,52.41542727,190,21,30,40
23,3.147,42.41681818,165.532574,30.14540909,52.56294545,190,21,30,40
24,3.146,42.24818182,164.4380068,28.96089091,51.19440909,190,21,30,40
25,3.148,42.28545455,166.1711339,29.96612727,52.43273636,190,21,30,40
26,3.144,42.27545455,164.6503364,29.09494545,51.32290909,190,21,30,40
27,3.147,42.43272727,165.7543651,29.44040909,51.7454,190,21,30,40
28,3.147,42.22636364,166.1029681,29.69021818,51.99063636,190,21,30,40
29,3.143,42.25818182,164.5612318,29.47473636,51.8457,190,21,30,40
30,3.144,42.40863636,166.7700275,29.87315455,52.25150909,190,21,30,40
31,3.144,42.43272727,164.6706542,29.81071818,52.20503636,190,21,30,40
32,3.147,42.15272727,164.5911078,29.67605455,52.06690909,190,21,30,40
33,3.145,42.14181818,166.9863705,30.09377273,52.47859091,190,21,30,40
34,3.144,42.31454545,164.0855829,30.07366364,52.51075455,190,21,30,40
35,3.147,42.42,164.9698178,29.61241818,51.90894545,190,21,30,40
36,3.146,42.38909091,164.7990355,29.29034545,51.52361818,190,21,30,40
37,3.143,42.39727273,163.9249011,27.77890909,49.83532727,190,21,30,40
38,3.139,42.43545455,164.8774574,28.58736364,50.82140909,190,21,30,40
39,3.145,42.28545455,164.9615207,29.84399091,52.22514545,190,21,30,40
40,3.142,42.40590909,164.0033437,30.18998182,52.62091818,190,21,30,40
41,3.142,43.10318182,169.9674996,31.34223636,52.59876364,190,21,30,100
42,3.143,43.20590909,170.2160071,30.46006364,51.60414545,190,21,30,100
43,3.144,43.25272727,169.7291323,30.81990909,51.99925455,190,21,30,100
44,3.145,43.39727273,171.197936,31.34239091,52.59239091,190,21,30,100
